Local Government ​Area,Lat,Long,State,Mar-26,Mar-27,Notes,Label
Townsville,-19.39083,146.71167,Queensland,4,13,Only HHS Scale,13
West Moreton,-27.49163,152.44265,Queensland,13,17,Only HHS Scale,17
Wide Bay,-25.22395,151.68280,Queensland,6,16,Only HHS Scale,16
Mid West,-28.79120,114.79998,Western Australia,2,2,Region,2
Wheatbelt,-31.55481,117.92929,Western Australia,2,2,Region,2
Goldfields-Esperance,-30.75817,121.56458,Western Australia,1,1,Region,1
Great Southern,-34.99937,117.84405,Western Australia,2,2,Region,2
Pilbara,-20.38991,118.61070,Western Australia,2,2,Region,2
South West,-33.87850,115.58918,Western Australia,6,6,Region,6
Peel,-32.60907,115.92741,Western Australia,0,0,Region,0
Gascoyne,-25.85128,114.59704,Western Australia,0,0,Region,0
Perth,-31.95763,115.85066,Western Australia,213,213,Region,213
Kimberley,-17.86116,122.35379,Western Australia,3,3,Region,3
ACT,-35.45000,148.98000,ACT,53,62,Territory,62
Darwin,-12.39843,130.88700,NT,8,9,Locality,9
Katherine,-14.69017,132.19508,NT,0,2,Locality,2
Harts Range,-22.98670,134.92100,NT,0,2,Locality,2
South Tasmania,-42.88782,147.32746,Tasmania,27,27,Region,27
North Tasmania,-41.43239,147.13499,Tasmania,12,12,Region,12
Northwest Tasmania,-41.26856,145.39336,Tasmania,5,5,Region,5
South Australia,-28.84435,134.52926,South Australia,235,235,State,235
