Local Government ​Area,Lat,Long,State,Mar-26,Mar-27,Mar-28,Notes,NewToday,Label
Katherine,-14.46768,132.26661,NT,0,2,2,Locality,0,2
Cairns and Hinterland,-17.82264,143.71227,Queensland,12,15,19,Only HHS Scale,4,19
Central Queensland,-24.06058,149.22558,Queensland,5,5,5,Only HHS Scale,0,5
Central West,-23.89720,142.24205,Queensland,0,0,0,Only HHS Scale,0,0
Darling Downs,-27.33491,150.75786,Queensland,17,17,21,Only HHS Scale,4,21
Gold Coast,-27.98056,153.31848,Queensland,91,106,114,Only HHS Scale,8,114
Mackay,-21.13909,148.80424,Queensland,5,5,5,Only HHS Scale,0,5
Metro North,-27.40115,153.01180,Queensland,144,165,178,Only HHS Scale,13,178
Metro South,-27.55480,153.08312,Queensland,123,132,152,Only HHS Scale,20,152
North West,-19.33982,140.19964,Queensland,0,0,0,Only HHS Scale,0,0
South West,-33.87850,115.58918,Queensland,0,0,0,Only HHS Scale,0,0
Sunshine Coast,-26.69618,152.89835,Queensland,56,64,69,Only HHS Scale,5,69
Torres and Cape,-14.11165,143.07644,Queensland,0,0,0,Only HHS Scale,0,0
Townsville,-19.39083,146.71167,Queensland,11,13,15,Only HHS Scale,2,15
West Moreton,-27.49163,152.44265,Queensland,17,17,31,Only HHS Scale,14,31
Wide Bay,-25.22395,151.68280,Queensland,12,16,16,Only HHS Scale,0,16
South Australia,-28.84435,134.52926,South Australia,235,257,257,State,0,257
North Tasmania,-41.43239,147.13499,Tasmania,12,17,17,Region,0,17
Northwest Tasmania,-41.26856,145.39336,Tasmania,5,6,6,Region,0,6
Latrobe (Tas.),-41.24398,146.56002,Tasmania,0,1,1,Locality,0,1
South Tasmania,-42.88782,147.32746,Tasmania,27,31,31,Region,0,31
Ballarat,-37.49285,143.78147,Victoria,5,5,8,,3,8
Banyule,-37.73044,145.08514,Victoria,16,21,25,,4,25
Bass Coast,-38.50729,145.55806,Victoria,1,2,2,,0,2
Baw Baw,-37.98400,146.13150,Victoria,2,3,4,,1,4
Bayside,-37.94184,145.01815,Victoria,17,18,18,,0,18
Boroondara,-37.81929,145.06309,Victoria,29,28,32,,4,32
Brimbank,-37.74755,144.80331,Victoria,12,12,13,,1,13
Cardinia,-38.08301,145.57269,Victoria,4,4,7,,3,7
Casey,-38.10435,145.30901,Victoria,16,30,23,,-7,23
Corangamite,-38.20432,143.19865,Victoria,0,0,1,,1,
Darebin,-37.73346,145.01433,Victoria,7,11,15,,4,15
East Gippsland,-37.37802,148.29167,Victoria,1,1,1,,0,1
Frankston,-38.13461,145.17380,Victoria,11,15,16,,1,16
Gannawarra,-35.75158,143.80423,Victoria,1,1,1,,0,1
Glen Eira,-37.90121,145.04260,Victoria,26,27,32,,5,32
Glenelg,-37.87050,141.38573,Victoria,0,0,1,,1,
Greater Bendigo,-36.73444,144.42265,Victoria,1,1,2,,1,2
Greater Dandenong,-38.00559,145.19001,Victoria,3,3,6,,3,6
Greater Geelong,-38.06896,144.41716,Victoria,21,23,33,,10,33
Greater Shepparton,-36.39699,145.38620,Victoria,3,2,3,,1,3
Hepburn,-37.31694,144.05756,Victoria,1,1,2,,1,2
Hobsons Bay,-37.85472,144.82976,Victoria,7,7,7,,0,7
Horsham,-36.82575,142.09045,Victoria,0,0,1,,1,1
Hume,-37.58918,144.82453,Victoria,10,10,12,,2,12
Kingston (Vic.),-37.98858,145.10507,Victoria,6,6,10,,4,10
Knox,-37.88898,145.25867,Victoria,2,3,4,,1,4
Latrobe (Vic.),-38.27456,146.43814,Victoria,3,3,5,,2,5
Macedon Ranges,-37.33567,144.61661,Victoria,2,3,4,,1,4
Manningham,-37.76159,145.18856,Victoria,7,8,10,,2,10
Mansfield,-37.20043,146.20684,Victoria,0,1,1,,0,1
Maribyrnong,-37.79527,144.87777,Victoria,5,5,5,,0,5
Maroondah,-37.80487,145.26526,Victoria,3,3,3,,0,3
Melbourne,-37.81050,144.94390,Victoria,32,33,36,,3,36
Melton,-37.69301,144.62598,Victoria,10,11,11,,0,11
Mildura,-34.86921,141.68286,Victoria,1,1,1,,0,1
Mitchell,-37.13753,145.00161,Victoria,5,5,5,,0,5
Moira,-36.06189,145.55036,Victoria,3,3,6,,3,6
Monash,-37.89714,145.14403,Victoria,13,14,19,,5,19
Moonee Valley,-37.74950,144.89576,Victoria,13,14,20,,6,20
Moorabool,-37.63278,144.21565,Victoria,1,1,1,,0,1
Moreland,-37.72992,144.94889,Victoria,23,25,31,,6,31
Mornington Peninsula,-38.34169,145.03533,Victoria,36,39,41,,2,41
Mount Alexander,-37.05079,144.19294,Victoria,4,5,5,,0,5
Moyne,-38.12245,142.49004,Victoria,1,1,1,,0,1
Nillumbik,-37.62291,145.23680,Victoria,4,8,9,,1,9
Northern Grampians,-36.84463,142.91964,Victoria,1,2,3,,1,3
Port Phillip,-37.85182,144.96580,Victoria,25,26,28,,2,28
South Gippsland,-38.62138,146.07599,Victoria,1,1,1,,0,1
Stonnington,-37.85795,145.03366,Victoria,57,58,61,,3,61
Surf Coast,-38.31230,144.05312,Victoria,4,4,5,,1,5
Towong,-36.35445,147.59886,Victoria,0,0,1,,1,1
Warrnambool,-38.37144,142.51181,Victoria,3,4,4,,0,4
Wellington,-37.89435,146.91935,Victoria,1,2,3,,1,3
Whitehorse,-37.83025,145.15506,Victoria,3,4,6,,2,6
Whittlesea,-37.54721,145.07769,Victoria,8,11,13,,2,13
Wodonga,-36.15056,146.88262,Victoria,0,0,1,,1,1
Wyndham,-37.88665,144.61825,Victoria,14,16,19,,3,19
Yarra,-37.80228,144.99855,Victoria,7,7,10,,3,10
Yarra Ranges,-37.71428,145.69704,Victoria,15,15,17,,2,17
Yarriambiack,-35.99006,142.41901,Victoria,1,1,1,,0,1
Gascoyne,-25.85128,114.59704,Western Australia,0,0,0,Region,0,0
